termo,categoria_semente,tipo_sinal
ncm suporte para celular,suporte para celular,rising (66400%)
suporte para celular na cama,suporte para celular,rising (190%)
suporte para celular cintura,suporte para celular,rising (70%)
garrafa com suporte para celular,suporte para celular,rising (60%)
gancho de parede para bicicleta,gancho de parede,rising (246400%)
gancho de parede para plantas,gancho de parede,rising (92100%)
vaso decorativo para mesa,vaso decorativo,rising (50%)
brinquedo educativo 6 meses,brinquedo educativo,rising (148600%)
brinquedo educativo 7 anos,brinquedo educativo,rising (73600%)
chaveiro personalizado dia dos pais,chaveiro personalizado,rising (160%)
caixa cabideiro para mudança,cabideiro,rising (19000%)
cabideiro basculante,cabideiro,rising (90%)
cabideiro de piso,cabideiro,rising (80%)
cabideiro com espelho,cabideiro,rising (40%)
