termo,categoria_semente,tipo_sinal
organizador de cabos pc,organizador de mesa,rising (24450%)
organizador de cabos para mesa,organizador de mesa,rising (80%)
suporte para celular corrida,suporte para celular,rising (50%)
gancho de parede infantil,gancho de parede,rising (100%)
vaso ceramica,vaso decorativo,rising (40%)
brinquedo educativo 5 anos,brinquedo educativo,rising (190%)
brinquedo educativo para bebe,brinquedo educativo,rising (80%)
brinquedo educativo 4 anos,brinquedo educativo,rising (70%)
brinquedo educativo 6 anos,brinquedo educativo,rising (50%)
